Document Index (generated),Category Code,Number Of Employees,Acquired,Competitors,No of Investors,State Code,Blog Url,Homepage Url,Money
1,web,47,1,8,9,WA,1,1,39.8
2,enterprise,600,0,0,1,CA,0,1,0
4,news,60,1,28,15,CA,1,1,45
7,web,0,1,3,1,CA,0,1,0
8,web,18,1,2,4,CA,1,1,16.5
9,games_video,0,1,5,1,CA,1,1,0
10,web,0,0,0,1,CA,0,1,0
12,web,0,1,10,17,CA,1,1,18.5
13,web,0,1,0,8,CA,0,1,18.1
14,news,50,0,10,15,CA,1,1,25.8
15,music,0,0,2,19,CA,0,1,73.1
16,games_video,0,1,7,9,CA,1,1,44.2
17,mobile,0,1,0,1,CA,0,1,0
19,social,15,0,5,3,NY,0,1,5.58
20,games_video,0,1,11,3,NY,1,1,45
21,news,0,0,0,1,CA,0,0,0
22,web,0,0,0,1,NY,0,1,0
24,web,50,1,13,10,CA,1,1,28.3
27,search,60,1,13,9,CA,1,1,22.5
28,advertising,35,0,10,12,CA,1,1,32.1
30,advertising,120,0,7,22,VA,1,1,73
31,advertising,305,0,3,26,CA,1,1,75.5
32,web,40,0,9,9,CA,1,1,21
33,games_video,0,0,0,1,CA,1,1,0
34,games_video,40,1,10,12,CA,1,1,23.4
35,games_video,0,1,14,20,CA,1,1,69.8
36,web,0,1,0,1,VA,0,1,0
37,web,0,0,2,2,TX,0,1,1
38,mobile,35,1,0,20,NY,0,1,88.7
39,web,0,0,0,1,IL,0,1,8.4
40,web,0,1,7,2,CA,1,1,5.2
41,web,75,0,2,7,NY,1,1,18.3
42,web,0,0,0,1,CA,1,1,5
43,web,0,1,0,1,CA,0,1,0
44,security,644,0,0,13,AZ,1,1,178
45,web,0,0,11,3,CA,1,1,4.7
46,web,22,0,5,8,CA,0,0,9
47,photo_video,62,0,8,1,CA,1,1,0
48,finance,0,0,11,32,CA,1,1,120
50,mobile,110,1,12,5,CA,1,1,33
52,games_video,0,1,35,2,CA,1,1,11.5
53,games_video,35,0,4,1,CA,1,1,0
55,games_video,120,1,12,4,NY,1,1,14.7
56,games_video,250,0,14,10,CA,1,1,60.1
57,games_video,15,0,3,5,NY,1,1,24
58,games_video,23,0,0,4,NY,1,1,11
60,mobile,3,1,7,1,CA,1,1,4
61,web,5,0,0,1,CT,0,1,0
62,web,0,1,13,4,CA,1,1,0
63,web,0,0,3,6,CA,1,1,15
64,search,0,1,6,13,WA,0,1,52.5
65,web,6,1,6,2,CA,0,1,0
66,games_video,0,1,4,3,CA,1,1,9
68,web,4,0,0,1,CA,0,1,0.1
69,mobile,0,0,0,1,WA,0,1,0
70,search,30,1,3,2,NY,1,1,7
71,ecommerce,0,1,8,3,CA,1,1,4.99
72,web,25,0,6,6,CA,0,1,12.7
73,games_video,0,1,4,4,CA,0,1,3.1
74,mobile,0,1,3,12,MA,0,1,32.2
77,games_video,0,1,0,1,CA,0,1,0
79,games_video,0,0,0,6,CA,1,1,18
81,messaging,300,1,7,6,NC,1,1,53.4
82,games_video,0,1,0,14,CA,0,1,25
83,games_video,0,0,8,1,CA,0,1,0
84,enterprise,0,1,7,30,CA,1,1,34.7
85,web,15,0,0,1,CA,0,1,0
87,search,800,0,47,7,CA,1,1,90
90,web,3,0,0,1,CA,0,1,0.45
91,travel,0,0,2,16,WA,1,1,24.3
92,web,0,0,7,1,CA,0,1,0
95,web,21,1,9,2,CA,1,1,11.2
97,web,0,0,6,1,CA,1,1,0.05
98,web,75,1,5,7,CA,0,1,32
99,web,0,0,2,1,CA,1,1,0
100,search,26,1,10,11,WA,0,1,20.6
