UTC format,success percent,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,10,0)",0.9375,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,9,0)",0.95,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,10,0)",0.833333333,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,2,0)",0.866666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,6,0)",0.888888889,,,,,,,,,,,,,,,,,,,
"Date.UTC(1979,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,3,0)",0.931818182,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,1,0)",0.973684211,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,2,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1995,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,10,0)",0.863636364,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1994,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,6,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,5,0)",0.930555556,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,3,0)",0.946666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,6,0)",0.835294118,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,12,0)",0.885714286,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,8,0)",0.866666667,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,12,0)",0.827586207,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,3,0)",0.894736842,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,2,0)",0.882352941,,,,,,,,,,,,,,,,,,,
"Date.UTC(1998,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,1,0)",0.931818182,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,8,0)",1,,,,,,,,,,,,,,,,,,, 
"Date.UTC(2007,5,0)",0.924242424,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,4,0)",0.914893617,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,12,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,9,0)",0.777777778,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,1,0)",0.951612903,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,4,0)",0.954545455,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,1,0)",0.883495146,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,8,0)",0.854545455,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2000,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,12,0)",0.785714286,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,5,0)",0.967741935,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,2,0)",0.846153846,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,7,0)",0.838235294,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,1,0)",0.922077922,,,,,,,,,,,,,,,,,,,
"Date.UTC(2003,5,0)",0.846153846,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,3,0)",0.931818182,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,11,0)",0.888888889,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,6,0)",0.928571429,,,,,,,,,,,,,,,,,,,
"Date.UTC(2007,8,0)",0.84,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,7,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1976,1,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,8,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2001,10,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1999,9,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2006,11,0)",0.979166667,,,,,,,,,,,,,,,,,,,
"Date.UTC(1994,3,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2008,2,0)",0.926470588,,,,,,,,,,,,,,,,,,,
"Date.UTC(2004,5,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(1990,11,0)",1,,,,,,,,,,,,,,,,,,,
"Date.UTC(2002,12,0)",0.833333333,,,,,,,,,,,,,,,,,,,
"Date.UTC(2005,5,0)",0.909090909,,,,,,,,,,,,,,,,,,,
